,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Emsland,Emsland,LOC,-0.25000000,0.00000000,de,2.80000000,4044521-5,2855525,P,53.07738000,7.40444000,EUROPE,Germany,NEU
Minusgrade,Minusgrade,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Mitteldeutschland,Mitteldeutschland,LOC,0.15178571,0.35714286,de,2.80000000,,0,,,,,,
Sprühregen,Sprühregen,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Landkreis Stendal,Landkreis Stendal,LOC,0.75000000,0.00000000,de,2.80000000,4057260-2,2827479,P,52.60690000,11.85867000,EUROPE,Germany,WCE
Schneespaß,Schneespaß,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Oberkärnten,Oberkärnten,LOC,0.00000000,0.71428571,de,2.80000000,4200656-9,7289657,L,46.72574000,13.76759000,EUROPE,Austria,WCE
Blitzeis,Blitzeis,LOC,0.75000000,0.00000000,de,2.80000000,,0,,,,,,
Florida,Florida,LOC,-0.35714286,0.00000000,de,2.80000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Unfällen,Unfällen,LOC,-0.05357143,0.00000000,de,2.80000000,,0,,,,,,
Erfurt,Erfurt,LOC,-0.25000000,0.00000000,de,2.80000000,4015240-6,2929670,P,50.97734000,11.03536000,EUROPE,Germany,WCE
Flughafen Berlin Brandenburg,Flughafen Berlin Brandenburg,LOC,0.00000000,0.00000000,de,2.80000000,,8181624,S,52.36213000,13.50168000,EUROPE,Germany,WCE
Glatteis-Gefahr,Glatteis-Gefahr,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Holland,Holland,LOC,0.00000000,0.67857143,de,2.80000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
Dresden,Dresden,LOC,-0.05357143,0.00000000,de,2.80000000,4012995-0,2935022,P,51.05089000,13.73832000,EUROPE,Germany,WCE
Freitagvormittag,Freitagvormittag,LOC,-0.71428571,0.00000000,de,2.80000000,,0,,,,,,
Tiroler,Tiroler,LOC,0.00000000,0.00000000,de,2.80000000,,2783037,H,47.85000000,12.50000000,EUROPE,Germany,WCE
Speranza,Speranza,LOC,0.00000000,0.00000000,de,2.80000000,,8968123,P,45.63443000,9.74905000,EUROPE,Italy,WCE
Kreml,Kreml,LOC,0.00000000,0.00000000,de,2.80000000,,2116480,T,59.29103000,162.17127000,ASIA,Russia,RFE
Leer,Leer,LOC,-1.03571429,0.00000000,de,2.80000000,,371466,P,8.30306000,30.14056000,AFRICA,South Sudan,NEAF
Wind,Wind,LOC,0.00000000,0.00000000,de,2.80000000,,8335343,L,31.29000000,18.03000000,EUROPE-AFRICA,,MED
Verkehrsteilnehmende,Verkehrsteilnehmende,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Schnees,Schnees,LOC,0.00000000,1.07142857,de,2.80000000,,0,,,,,,
Verkehrsbehinderungen,Verkehrsbehinderungen,LOC,0.96428571,0.00000000,de,2.80000000,,0,,,,,,
Bodensee,Bodensee,LOC,0.00000000,0.00000000,de,2.80000000,4007403-1,11919717,L,47.61495000,9.39765000,EUROPE,,WCE
Bayerischen Wald,Bayerischen Wald,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
gefrierender Regen,gefrierender Regen,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Landkreis Heidenheim,Landkreis Heidenheim,LOC,0.35714286,0.00000000,de,2.80000000,4024007-1,2907851,P,48.67798000,10.15162000,EUROPE,Germany,WCE
Oberbayern,Oberbayern,LOC,0.12500000,0.17857143,de,2.80000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Innsbruck,Innsbruck,LOC,-0.46428571,0.00000000,de,2.80000000,4027096-8,2775220,P,47.26266000,11.39454000,EUROPE,Austria,WCE
Hochlagen,Hochlagen,LOC,0.71428571,0.00000000,de,2.80000000,,0,,,,,,
Rodelspaß,Rodelspaß,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Neuschnee,Neuschnee,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Elbe,Elbe,LOC,0.00000000,0.00000000,de,2.80000000,4115252-9,2868531,P,51.43453000,13.22177000,EUROPE,Germany,WCE
Sonntag Glatteis,Sonntag Glatteis,LOC,-0.71428571,0.00000000,de,2.80000000,,0,,,,,,
Ibiza,Ibiza,LOC,0.00000000,0.00000000,de,2.80000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Notstand,Notstand,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Kakao,Kakao,LOC,0.00000000,0.00000000,de,2.80000000,,1673784,P,22.12139000,120.84750000,ASIA,Taiwan,EAS
Südschwarzwald,Südschwarzwald,LOC,0.00000000,0.00000000,de,2.80000000,,3205650,A,47.71022000,8.09118000,EUROPE,Germany,WCE
Schüssen,Schüssen,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Ludwigsburg,Ludwigsburg,LOC,0.00000000,0.00000000,de,2.80000000,4036469-0,2875392,P,48.89731000,9.19161000,EUROPE,Germany,WCE
Polarwirbels,Polarwirbels,LOC,-0.50000000,0.00000000,de,2.80000000,,0,,,,,,
sn,sn,LOC,-0.08333333,0.00000000,de,2.80000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
Schulausfälle,Schulausfälle,LOC,0.16666667,0.11904762,de,2.80000000,,0,,,,,,
Eisregen,Eisregen,LOC,0.16666667,0.11904762,de,2.80000000,,0,,,,,,
